Sillaba,Conteggio,lunghezza_sillaba
pres,105,4.0
gràm,99,4.0
stre,89,4.0
fran,88,4.0
scri,85,4.0
scal,84,4.0
spet,84,4.0
scio,78,4.0
scor,78,4.0
chét,77,4.0
guar,76,4.0
trat,76,4.0
chet,73,4.0
chie,69,4.0
scar,68,4.0
stan,65,4.0
glió,64,4.0
strì,60,4.0
sten,58,4.0
gram,58,4.0
glie,57,4.0
ster,57,4.0
scom,56,4.0
stàn,56,4.0
sper,54,4.0
chiè,52,4.0
squa,50,4.0
scan,49,4.0
pian,48,4.0
scrì,48,4.0
cheg,47,4.0
bian,46,4.0
gran,46,4.0
pren,46,4.0
bron,45,4.0
trin,45,4.0
giun,45,4.0
spon,44,4.0
stèn,44,4.0
quar,43,4.0
trac,43,4.0
stel,42,4.0
quin,42,4.0
stal,42,4.0
fron,40,4.0
scle,40,4.0
post,39,4.0
spre,39,4.0
strò,39,4.0
liàn,39,4.0
spor,37,4.0
chió,37,4.0
giàn,37,4.0
crit,37,4.0
tron,37,4.0
sgra,36,4.0
cièn,36,4.0
prov,35,4.0
clas,35,4.0
fles,35,4.0
cian,35,4.0
trap,34,4.0
sfor,34,4.0
scre,34,4.0
schì,34,4.0
tràn,34,4.0
spia,33,4.0
scen,33,4.0
trom,33,4.0
spar,33,4.0
stor,33,4.0
frut,33,4.0
spro,33,4.0
gliè,31,4.0
sbra,31,4.0
brac,31,4.0
spen,30,4.0
stam,30,4.0
bran,30,4.0
ghia,29,4.0
gres,29,4.0
scol,29,4.0
spèr,28,4.0
stèr,28,4.0
span,28,4.0
chiù,27,4.0
quan,27,4.0
stià,27,4.0
chiò,27,4.0
scam,27,4.0
ghià,27,4.0
fluo,27,4.0
fram,26,4.0
chéz,26,4.0
sciu,26,4.0
sché,26,4.0
stio,26,4.0
graf,26,4.0
pneu,26,4.0
stió,25,4.0
gior,25,4.0
strè,25,4.0
quat,25,4.0
trio,25,4.0
ciac,25,4.0
glié,25,4.0
près,25,4.0
chié,24,4.0
stil,24,4.0
quèn,24,4.0
scac,24,4.0
scin,24,4.0
fiam,24,4.0
ciàn,24,4.0
gliò,23,4.0
sbar,23,4.0
brio,23,4.0
cher,23,4.0
prez,23,4.0
pseu,23,4.0
spaz,23,4.0
spie,23,4.0
giùn,22,4.0
squi,22,4.0
frat,22,4.0
tràt,22,4.0
sver,22,4.0
strù,22,4.0
stiè,22,4.0
ciar,22,4.0
quie,22,4.0
glos,22,4.0
bràn,22,4.0
gros,21,4.0
fred,21,4.0
cioc,21,4.0
spol,21,4.0
star,21,4.0
stec,21,4.0
piat,21,4.0
piàn,21,4.0
stia,21,4.0
spal,21,4.0
triz,21,4.0
stàl,20,4.0
rien,20,4.0
bril,20,4.0
stic,20,4.0
scro,20,4.0
sciè,20,4.0
gràn,20,4.0
gras,20,4.0
tral,20,4.0
tràr,20,4.0
tria,19,4.0
stin,19,4.0
cial,19,4.0
pran,19,4.0
sció,19,4.0
ghet,19,4.0
stìn,19,4.0
ghét,19,4.0
stac,19,4.0
spac,19,4.0
sciò,18,4.0
sciù,18,4.0
sgro,18,4.0
spun,18,4.0
blio,18,4.0
biet,17,4.0
ciàr,17,4.0
flui,17,4.0
quen,17,4.0
cien,17,4.0
sbri,17,4.0
piaz,17,4.0
sgua,17,4.0
scàl,17,4.0
nièn,16,4.0
gial,16,4.0
grat,16,4.0
piom,16,4.0
sven,16,4.0
liàr,16,4.0
trèl,16,4.0
trià,16,4.0
traf,16,4.0
prio,16,4.0
scap,16,4.0
tram,16,4.0
fràn,16,4.0
pièn,16,4.0
prac,16,4.0
smar,16,4.0
sbal,16,4.0
schè,16,4.0
pras,15,4.0
ciam,15,4.0
stèl,15,4.0
scot,15,4.0
gual,15,4.0
scil,15,4.0
sfra,15,4.0
ciòt,15,4.0
spic,15,4.0
scàn,15,4.0
glòs,15,4.0
chiu,15,4.0
squà,14,4.0
pleu,14,4.0
scòr,14,4.0
ghiè,14,4.0
scru,14,4.0
stró,14,4.0
chég,14,4.0
steg,14,4.0
sgre,14,4.0
spru,14,4.0
sban,14,4.0
scel,14,4.0
trec,14,4.0
dram,14,4.0
sple,14,4.0
guer,14,4.0
sfer,14,4.0
guàr,14,4.0
vrap,14,4.0
plan,14,4.0
chiz,14,4.0
brec,13,4.0
sfio,13,4.0
fian,13,4.0
gheg,13,4.0
gnàn,13,4.0
stem,13,4.0
quio,13,4.0
ples,13,4.0
prin,13,4.0
guan,13,4.0
liar,13,4.0
ghio,13,4.0
tràc,13,4.0
bloc,13,4.0
pram,13,4.0
brat,13,4.0
scis,13,4.0
ciot,13,4.0
quìn,13,4.0
scàr,13,4.0
spin,13,4.0
croc,13,4.0
prèn,13,4.0
piàt,13,4.0
trìn,12,4.0
sfol,12,4.0
zièn,12,4.0
spór,12,4.0
prav,12,4.0
qual,12,4.0
pros,12,4.0
dràm,12,4.0
stop,12,4.0
bric,12,4.0
pial,12,4.0
stré,12,4.0
scón,12,4.0
sgar,12,4.0
scer,12,4.0
smal,12,4.0
prag,12,4.0
spìn,12,4.0
zien,11,4.0
splo,11,4.0
sbia,11,4.0
bràc,11,4.0
giar,11,4.0
sfre,11,4.0
scén,11,4.0
trad,11,4.0
drap,11,4.0
proi,11,4.0
praf,11,4.0
sbat,11,4.0
glot,11,4.0
sbor,11,4.0
spri,11,4.0
grop,11,4.0
lièn,11,4.0
sfac,11,4.0
scór,11,4.0
spez,11,4.0
bien,11,4.0
sdru,11,4.0
diàn,11,4.0
scèl,11,4.0
clau,11,4.0
broc,11,4.0
scuò,11,4.0
trep,10,4.0
sbro,10,4.0
sboz,10,4.0
gron,10,4.0
spàr,10,4.0
fiàm,10,4.0
clàs,10,4.0
frón,10,4.0
smis,10,4.0
pron,10,4.0
frit,10,4.0
scas,10,4.0
spli,10,4.0
buon,10,4.0
spèt,10,4.0
grès,10,4.0
spòr,10,4.0
spèn,10,4.0
trot,10,4.0
gril,10,4.0
sgom,10,4.0
sboc,10,4.0
stéz,10,4.0
grup,10,4.0
gher,10,4.0
scim,10,4.0
grin,10,4.0
staf,10,4.0
sghi,10,4.0
stòr,10,4.0
stoc,10,4.0
tret,10,4.0
spec,10,4.0
trol,10,4.0
flès,10,4.0
tràg,10,4.0
dièn,10,4.0
plàn,10,4.0
scet,10,4.0
scìn,10,4.0
grot,9,4.0
bria,9,4.0
chèl,9,4.0
driz,9,4.0
sfal,9,4.0
pria,9,4.0
sman,9,4.0
brin,9,4.0
quàn,9,4.0
quàr,9,4.0
grap,9,4.0
spil,9,4.0
quas,9,4.0
fioc,9,4.0
sprè,9,4.0
squì,9,4.0
prat,9,4.0
pràn,9,4.0
flet,9,4.0
scrò,9,4.0
guèn,9,4.0
triè,9,4.0
stau,9,4.0
trau,9,4.0
sfon,9,4.0
ciul,9,4.0
stig,9,4.0
cros,9,4.0
crip,9,4.0
frùt,9,4.0
stuc,9,4.0
riàn,9,4.0
scop,9,4.0
stie,9,4.0
smor,9,4.0
tren,9,4.0
trip,9,4.0
trar,9,4.0
fiac,9,4.0
flùs,8,4.0
blin,8,4.0
sclu,8,4.0
sfru,8,4.0
cric,8,4.0
trez,8,4.0
reat,8,4.0
sprì,8,4.0
spio,8,4.0
gian,8,4.0
scoc,8,4.0
giór,8,4.0
quil,8,4.0
stàg,8,4.0
stàr,8,4.0
glòt,8,4.0
guàn,8,4.0
smét,8,4.0
drio,8,4.0
chés,8,4.0
flèt,8,4.0
ciàc,8,4.0
plau,8,4.0
stiz,8,4.0
stur,8,4.0
tràl,8,4.0
biàn,8,4.0
sfia,8,4.0
tròl,8,4.0
trul,8,4.0
bion,8,4.0
scul,8,4.0
svòl,8,4.0
leon,8,4.0
guaz,8,4.0
piop,8,4.0
scàm,7,4.0
ciuc,7,4.0
spes,7,4.0
giàr,7,4.0
sfàt,7,4.0
scòt,7,4.0
brón,7,4.0
quià,7,4.0
gnàc,7,4.0
gnàr,7,4.0
prèz,7,4.0
smon,7,4.0
proc,7,4.0
trét,7,4.0
tril,7,4.0
quer,7,4.0
fràt,7,4.0
cion,7,4.0
stàm,7,4.0
scuo,7,4.0
scoz,7,4.0
prap,7,4.0
rièn,7,4.0
treg,7,4.0
vòlt,7,4.0
sfar,7,4.0
scos,7,4.0
frul,7,4.0
pric,7,4.0
sgam,7,4.0
trim,7,4.0
brel,7,4.0
truc,7,4.0
gnòt,7,4.0
ches,7,4.0
trón,7,4.0
treb,7,4.0
scat,7,4.0
sgan,7,4.0
grom,7,4.0
chic,7,4.0
splè,7,4.0
tèst,6,4.0
scem,6,4.0
brut,6,4.0
stàc,6,4.0
sbir,6,4.0
vrec,6,4.0
stag,6,4.0
stùr,6,4.0
brìc,6,4.0
stir,6,4.0
pret,6,4.0
psam,6,4.0
plès,6,4.0
crol,6,4.0
ciàl,6,4.0
ziàn,6,4.0
cràn,6,4.0
giuc,6,4.0
stìc,6,4.0
frap,6,4.0
scaz,6,4.0
flus,6,4.0
gnét,6,4.0
bròc,6,4.0
sgri,6,4.0
crìc,6,4.0
ston,6,4.0
fiàc,6,4.0
niet,6,4.0
glau,6,4.0
prad,6,4.0
gliù,6,4.0
sfin,6,4.0
truf,6,4.0
spià,6,4.0
trit,6,4.0
prià,6,4.0
gréz,6,4.0
sber,6,4.0
chìc,6,4.0
cron,6,4.0
drit,6,4.0
scur,6,4.0
slit,6,4.0
frol,6,4.0
fret,6,4.0
stòi,6,4.0
sner,6,4.0
fìlm,6,4.0
blòc,6,4.0
prie,6,4.0
stap,6,4.0
cròc,6,4.0
fiàn,6,4.0
spul,6,4.0
ciòc,6,4.0
plèn,6,4.0
smer,6,4.0
brét,6,4.0
sfri,6,4.0
svol,6,4.0
ciòl,6,4.0
sbru,6,4.0
trav,5,4.0
trab,5,4.0
sbac,5,4.0
tlàn,5,4.0
sgrà,5,4.0
grip,5,4.0
grìn,5,4.0
spàn,5,4.0
quàs,5,4.0
frìt,5,4.0
tróm,5,4.0
ghin,5,4.0
plio,5,4.0
piét,5,4.0
giàm,5,4.0
chei,5,4.0
sbul,5,4.0
tras,5,4.0
guiz,5,4.0
stuz,5,4.0
piàg,5,4.0
ghió,5,4.0
stol,5,4.0
stoi,5,4.0
ciur,5,4.0
stòc,5,4.0
ciùc,5,4.0
piet,5,4.0
smoz,5,4.0
floc,5,4.0
drùc,5,4.0
sprà,5,4.0
smoc,5,4.0
sdra,5,4.0
sgon,5,4.0
sbàr,5,4.0
chin,5,4.0
tràm,5,4.0
flot,5,4.0
glìt,5,4.0
stua,5,4.0
guil,5,4.0
drìt,5,4.0
plac,5,4.0
smet,5,4.0
flit,5,4.0
rian,5,4.0
dràc,5,4.0
svel,5,4.0
spur,5,4.0
sgor,5,4.0
spàl,5,4.0
stór,5,4.0
chèr,5,4.0
tròc,5,4.0
diar,5,4.0
frec,5,4.0
sbie,5,4.0
staz,5,4.0
scla,5,4.0
spìc,5,4.0
sdrù,5,4.0
spas,5,4.0
bréz,5,4.0
scré,5,4.0
plàu,4,4.0
stoz,4,4.0
bret,4,4.0
cror,4,4.0
pion,4,4.0
stuò,4,4.0
scòc,4,4.0
scaf,4,4.0
sfis,4,4.0
scòs,4,4.0
drià,4,4.0
sgui,4,4.0
trài,4,4.0
giac,4,4.0
tròi,4,4.0
chel,4,4.0
spiu,4,4.0
spòn,4,4.0
ghel,4,4.0
sghe,4,4.0
sfàl,4,4.0
tréb,4,4.0
stiò,4,4.0
piac,4,4.0
frìg,4,4.0
tréz,4,4.0
gràs,4,4.0
grùp,4,4.0
spùn,4,4.0
scàt,4,4.0
ghéz,4,4.0
guai,4,4.0
vrim,4,4.0
quiè,4,4.0
brìl,4,4.0
clèi,4,4.0
svec,4,4.0
feld,4,4.0
grét,4,4.0
bràt,4,4.0
smac,4,4.0
svet,4,4.0
trai,4,4.0
sfug,4,4.0
sbot,4,4.0
duel,4,4.0
dròi,4,4.0
from,4,4.0
piag,4,4.0
brai,4,4.0
sfot,4,4.0
guet,4,4.0
glas,4,4.0
sbór,4,4.0
spìl,4,4.0
riàr,4,4.0
quac,4,4.0
sbrò,4,4.0
stóp,4,4.0
scìs,4,4.0
ciuf,4,4.0
giam,4,4.0
bioc,4,4.0
prón,4,4.0
plen,4,4.0
frig,4,4.0
svan,4,4.0
scàg,4,4.0
rium,4,4.0
stés,4,4.0
spau,4,4.0
sbèr,4,4.0
scrè,4,4.0
trof,4,4.0
miot,4,4.0
guin,4,4.0
splò,4,4.0
breg,4,4.0
guèl,4,4.0
stìl,4,4.0
fior,4,4.0
sbef,4,4.0
sbuc,4,4.0
sgoc,4,4.0
grul,4,4.0
zieg,4,4.0
spèl,4,4.0
bliò,4,4.0
gnau,4,4.0
scèt,4,4.0
grón,4,4.0
flem,4,4.0
rönt,4,4.0
guèr,4,4.0
smen,4,4.0
scùs,4,4.0
frau,4,4.0
dràn,4,4.0
gròs,4,4.0
smit,4,4.0
sbrà,4,4.0
frin,4,4.0
spos,4,4.0
sgal,4,4.0
tres,4,4.0
gnor,4,4.0
slìt,4,4.0
gnèl,4,4.0
scól,4,4.0
fréd,4,4.0
tràp,4,4.0
spól,4,4.0
blìn,4,4.0
crio,4,4.0
sfèr,4,4.0
stéc,4,4.0
psit,4,4.0
sgob,3,4.0
pnèu,3,4.0
ciùl,3,4.0
glit,3,4.0
biét,3,4.0
svio,3,4.0
tròz,3,4.0
prar,3,4.0
flìg,3,4.0
spif,3,4.0
ghir,3,4.0
trìc,3,4.0
smem,3,4.0
sneb,3,4.0
sbrì,3,4.0
sbuf,3,4.0
scél,3,4.0
sgàr,3,4.0
trùl,3,4.0
scèr,3,4.0
chèn,3,4.0
dros,3,4.0
guel,3,4.0
guàc,3,4.0
rieg,3,4.0
plàc,3,4.0
queo,3,4.0
dial,3,4.0
spàc,3,4.0
vrab,3,4.0
ness,3,4.0
clei,3,4.0
ción,3,4.0
viag,3,4.0
plòi,3,4.0
plèt,3,4.0
giul,3,4.0
crìp,3,4.0
sguì,3,4.0
gràf,3,4.0
stùl,3,4.0
cròl,3,4.0
quìl,3,4.0
plèu,3,4.0
pnòi,3,4.0
piàz,3,4.0
sprù,3,4.0
gnac,3,4.0
giub,3,4.0
grég,3,4.0
splà,3,4.0
stas,3,4.0
tròr,3,4.0
trup,3,4.0
cruc,3,4.0
vraf,3,4.0
sclù,3,4.0
liàm,3,4.0
fion,3,4.0
vest,3,4.0
flam,3,4.0
fiét,3,4.0
quia,3,4.0
smot,3,4.0
brez,3,4.0
plex,3,4.0
blèn,3,4.0
clan,3,4.0
fleg,3,4.0
vrin,3,4.0
scàc,3,4.0
sfìn,3,4.0
guàl,3,4.0
briz,3,4.0
quét,3,4.0
gnel,3,4.0
svèl,3,4.0
gnat,3,4.0
prec,3,4.0
splì,3,4.0
fuor,3,4.0
smùn,3,4.0
brèn,3,4.0
stab,3,4.0
slac,3,4.0
smie,3,4.0
cias,3,4.0
gias,3,4.0
mièn,3,4.0
flig,3,4.0
pràs,3,4.0
pròc,3,4.0
dràp,3,4.0
diac,3,4.0
snel,3,4.0
nien,3,4.0
giug,3,4.0
grìl,3,4.0
quàt,3,4.0
svam,3,4.0
gris,3,4.0
scàs,3,4.0
snoc,3,4.0
spel,3,4.0
brèl,3,4.0
fròt,3,4.0
prus,3,4.0
spla,3,4.0
pióm,3,4.0
gnàt,3,4.0
tròp,3,4.0
spoe,3,4.0
blan,3,4.0
clàu,3,4.0
chec,3,4.0
smus,3,4.0
rièl,3,4.0
stél,3,4.0
piéz,3,4.0
spón,3,4.0
spap,3,4.0
sfat,3,4.0
brah,3,4.0
ziàr,3,4.0
sfig,3,4.0
drìl,3,4.0
srae,3,4.0
trag,3,4.0
sdol,3,4.0
flau,3,4.0
sden,3,4.0
smèr,3,4.0
clòi,3,4.0
dret,3,4.0
trùc,3,4.0
quid,3,4.0
tràf,3,4.0
prét,3,4.0
pral,3,4.0
sfrì,3,4.0
gròt,3,4.0
slan,3,4.0
trie,3,4.0
spam,3,4.0
cròt,3,4.0
flut,3,4.0
smàn,3,4.0
grif,3,4.0
pròs,3,4.0
slab,3,4.0
dard,3,4.0
tréc,3,4.0
neiz,3,4.0
scuf,3,4.0
dran,3,4.0
sgru,3,4.0
sbol,3,4.0
trop,3,4.0
mass,3,4.0
plis,3,4.0
bren,3,4.0
snif,3,4.0
giàc,3,4.0
sprò,3,4.0
sbec,2,4.0
bièt,2,4.0
sbas,2,4.0
leum,2,4.0
sfit,2,4.0
liòt,2,4.0
gnoc,2,4.0
perm,2,4.0
sgóm,2,4.0
prei,2,4.0
smòg,2,4.0
faen,2,4.0
smòr,2,4.0
cliz,2,4.0
frui,2,4.0
scic,2,4.0
stòf,2,4.0
quàc,2,4.0
svin,2,4.0
flùi,2,4.0
grem,2,4.0
tsia,2,4.0
trìl,2,4.0
chas,2,4.0
diur,2,4.0
stul,2,4.0
stìs,2,4.0
ghèl,2,4.0
lian,2,4.0
smin,2,4.0
dria,2,4.0
dreg,2,4.0
tlan,2,4.0
clic,2,4.0
grìp,2,4.0
glis,2,4.0
drùn,2,4.0
ghit,2,4.0
slog,2,4.0
chil,2,4.0
svuo,2,4.0
nièl,2,4.0
spìt,2,4.0
scìr,2,4.0
ghie,2,4.0
zwin,2,4.0
stép,2,4.0
trùf,2,4.0
stét,2,4.0
svìz,2,4.0
giàl,2,4.0
spom,2,4.0
sfel,2,4.0
plia,2,4.0
blat,2,4.0
scip,2,4.0
gret,2,4.0
chéc,2,4.0
biàc,2,4.0
gnàz,2,4.0
snob,2,4.0
stòl,2,4.0
gnet,2,4.0
trió,2,4.0
giot,2,4.0
giòt,2,4.0
giap,2,4.0
clet,2,4.0
clep,2,4.0
prèt,2,4.0
sdét,2,4.0
fras,2,4.0
gnàg,2,4.0
guàg,2,4.0
pred,2,4.0
svèr,2,4.0
brid,2,4.0
driè,2,4.0
smol,2,4.0
tsiò,2,4.0
tràu,2,4.0
clac,2,4.0
dràu,2,4.0
svia,2,4.0
prof,2,4.0
ciap,2,4.0
blàg,2,4.0
sdop,2,4.0
splu,2,4.0
steu,2,4.0
sbio,2,4.0
stól,2,4.0
flèm,2,4.0
drun,2,4.0
sgoz,2,4.0
nord,2,4.0
spit,2,4.0
gràp,2,4.0
scou,2,4.0
vrac,2,4.0
scìm,2,4.0
ciàm,2,4.0
clàn,2,4.0
ring,2,4.0
ciàt,2,4.0
clìt,2,4.0
ghég,2,4.0
svén,2,4.0
sbré,2,4.0
svez,2,4.0
vràl,2,4.0
brió,2,4.0
cràs,2,4.0
chèi,2,4.0
rial,2,4.0
clìp,2,4.0
smés,2,4.0
gróm,2,4.0
ghim,2,4.0
grép,2,4.0
flùt,2,4.0
step,2,4.0
pril,2,4.0
bert,2,4.0
gine,2,4.0
tròt,2,4.0
mais,2,4.0
biòc,2,4.0
stei,2,4.0
fert,2,4.0
brén,2,4.0
glan,2,4.0
coin,2,4.0
spiè,2,4.0
plei,2,4.0
leal,2,4.0
spoc,2,4.0
riàm,2,4.0
tror,2,4.0
fiot,2,4.0
viet,2,4.0
ghiò,2,4.0
gaul,2,4.0
fiéz,2,4.0
riét,2,4.0
cheo,2,4.0
smuò,2,4.0
stàz,2,4.0
piòg,2,4.0
sbur,2,4.0
trèp,2,4.0
sfòr,2,4.0
chis,2,4.0
tèxt,2,4.0
fiòc,2,4.0
mieg,2,4.0
zèug,2,4.0
sfan,2,4.0
piog,2,4.0
guìl,2,4.0
vral,2,4.0
clét,2,4.0
chìn,2,4.0
dràs,2,4.0
dios,2,4.0
pròv,2,4.0
slom,2,4.0
